166: Date: 6th May, Values={'ma10': 1267.2, 'ma20': 1191.75, 'ma50': 843.44, 'ma200': 766.69}
167: Date: 5th May, Values={'ma10': 1377.7, 'ma20': 1221.2, 'ma50': 832.92, 'ma200': 770.065}
168: Date: 2nd May, Values={'ma10': 1435.9, 'ma20': 1220.7, 'ma50': 816.24, 'ma200': 771.055}
169: Date: 30th Apr, Values={'ma10': 1518.6, 'ma20': 1224.8, 'ma50': 804.42, 'ma200': 772.005}
170: Date: 29th Apr, Values={'ma10': 1582.0, 'ma20': 1230.4, 'ma50': 790.64, 'ma200': 772.6}
171: Date: 28th Apr, Values={'ma10': 1549.9, 'ma20': 1216.1, 'ma50': 774.36, 'ma200': 772.475}
172: Date: 25th Apr, Values={'ma10': 1472.1, 'ma20': 1210.65, 'ma50': 763.28, 'ma200': 772.25}
173: Date: 24th Apr, Values={'ma10': 1398.0, 'ma20': 1219.95, 'ma50': 753.82, 'ma200': 771.81}
174: Date: 23rd Apr, Values={'ma10': 1250.9, 'ma20': 1201.75, 'ma50': 735.38, 'ma200': 769.315}
175: Date: 22nd Apr, Values={'ma10': 1152.6, 'ma20': 1170.2, 'ma50': 712.52, 'ma200': 767.275}
176: Date: 21st Apr, Values={'ma10': 1116.3, 'ma20': 1133.95, 'ma50': 685.96, 'ma200': 765.145}
177: Date: 17th Apr, Values={'ma10': 1064.7, 'ma20': 1081.05, 'ma50': 663.1, 'ma200': 762.99}
178: Date: 16th Apr, Values={'ma10': 1005.5, 'ma20': 1018.8, 'ma50': 641.42, 'ma200': 761.95}
179: Date: 15th Apr, Values={'ma10': 931.0, 'ma20': 954.4, 'ma50': 614.96, 'ma200': 761.115}
180: Date: 11th Apr, Values={'ma10': 878.8, 'ma20': 897.9, 'ma50': 590.44, 'ma200': 760.675}
181: Date: 9th Apr, Values={'ma10': 882.3, 'ma20': 872.5, 'ma50': 574.8, 'ma200': 762.86}
182: Date: 8th Apr, Values={'ma10': 949.2, 'ma20': 869.5, 'ma50': 567.68, 'ma200': 767.07}
183: Date: 7th Apr, Values={'ma10': 1041.9, 'ma20': 877.75, 'ma50': 562.06, 'ma200': 769.48}
184: Date: 4th Apr, Values={'ma10': 1152.6, 'ma20': 891.9, 'ma50': 564.3, 'ma200': 772.14}
185: Date: 3rd Apr, Values={'ma10': 1187.8, 'ma20': 870.35, 'ma50': 554.76, 'ma200': 772.26}
186: Date: 2nd Apr, Values={'ma10': 1151.6, 'ma20': 808.45, 'ma50': 534.8, 'ma200': 768.105}
187: Date: 1st Apr, Values={'ma10': 1097.4, 'ma20': 751.75, 'ma50': 521.9, 'ma200': 766.5}
188: Date: 28th Mar, Values={'ma10': 1032.1, 'ma20': 704.55, 'ma50': 509.64, 'ma200': 766.305}
