Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
21st Feb 2024,68,64,32,2,982,898,1185,695,1548,332
20th Feb 2024,131,21,58,1,1143,736,1239,640,1561,318
19th Feb 2024,203,20,49,1,1117,765,1228,654,1571,311
16th Feb 2024,154,15,14,2,1019,858,1193,684,1552,325
15th Feb 2024,209,28,11,6,889,985,1144,730,1525,349
14th Feb 2024,220,41,11,13,785,1085,1065,805,1499,371
13th Feb 2024,100,124,14,21,635,1234,1001,868,1460,409
12th Feb 2024,46,606,23,19,611,1261,1009,863,1462,410
9th Feb 2024,51,170,34,4,986,880,1245,621,1557,309
8th Feb 2024,100,85,50,4,1172,696,1349,519,1585,283
7th Feb 2024,169,46,51,2,1275,593,1418,450,1609,259
6th Feb 2024,181,39,54,2,1239,628,1382,485,1598,269
5th Feb 2024,132,123,42,2,1129,738,1317,550,1593,274
2nd Feb 2024,127,43,63,1,1235,629,1394,470,1620,244
1st Feb 2024,119,44,81,1,1266,598,1421,443,1626,238
31st Jan 2024,206,31,89,1,1323,539,1450,412,1637,225
30th Jan 2024,141,29,50,1,1135,726,1354,507,1601,260
29th Jan 2024,199,28,58,1,1137,725,1344,518,1608,254
25th Jan 2024,175,25,50,1,1024,834,1297,561,1590,268
24th Jan 2024,187,28,35,1,958,900,1282,576,1581,277
23rd Jan 2024,29,408,20,4,732,1127,1187,672,1547,312
20th Jan 2024,139,8,28,1,1211,645,1438,418,1637,219
19th Jan 2024,167,9,26,1,1188,668,1434,422,1639,217
18th Jan 2024,99,16,24,2,1014,842,1358,498,1618,238
17th Jan 2024,42,30,28,2,1057,799,1392,464,1634,222
16th Jan 2024,56,66,25,1,1301,554,1508,346,1664,191
15th Jan 2024,135,19,46,1,1431,427,1579,279,1687,171
12th Jan 2024,118,22,30,1,1467,388,1589,266,1682,173
11th Jan 2024,155,14,42,2,1422,434,1569,287,1668,188
10th Jan 2024,124,19,48,1,1331,525,1531,325,1646,210
9th Jan 2024,109,16,42,0,1333,523,1544,312,1656,200
8th Jan 2024,118,32,40,1,1329,529,1536,322,1654,204
5th Jan 2024,99,12,48,0,1511,345,1598,258,1674,182
4th Jan 2024,143,9,56,0,1490,366,1582,274,1674,182
3rd Jan 2024,118,11,40,1,1391,465,1545,311,1669,187
2nd Jan 2024,128,11,32,0,1414,442,1539,317,1663,193
1st Jan 2024,162,12,39,0,1426,432,1531,327,1655,203
29th Dec 2023,88,17,30,1,1292,561,1443,410,1634,219
28th Dec 2023,84,29,41,1,1261,592,1425,428,1615,238
27th Dec 2023,90,23,23,1,1290,560,1444,406,1616,234
26th Dec 2023,152,11,25,1,1262,586,1425,423,1617,231
22nd Dec 2023,128,7,21,2,1188,659,1396,451,1593,254
21st Dec 2023,175,8,15,1,1033,812,1318,527,1576,269
20th Dec 2023,20,621,11,2,777,1063,1152,688,1523,317
19th Dec 2023,108,11,28,1,1394,445,1512,327,1633,206
18th Dec 2023,126,17,29,1,1409,432,1514,327,1626,215
15th Dec 2023,101,21,34,1,1360,480,1488,352,1610,230
14th Dec 2023,99,19,37,0,1338,502,1462,378,1595,245
13th Dec 2023,118,18,37,1,1312,528,1433,407,1586,254
12th Dec 2023,81,25,36,1,1258,582,1413,427,1578,262
11th Dec 2023,150,11,37,2,1329,512,1467,374,1583,258
8th Dec 2023,85,34,37,3,1303,538,1455,386,1576,265
7th Dec 2023,124,22,41,1,1390,451,1478,363,1589,252
6th Dec 2023,123,12,29,0,1348,493,1444,397,1585,256
5th Dec 2023,83,18,30,0,1340,501,1408,433,1557,284
4th Dec 2023,132,11,27,0,1398,444,1433,409,1556,286
1st Dec 2023,93,15,18,0,1300,540,1389,451,1541,299
30th Nov 2023,93,16,23,0,1262,573,1339,497,1521,315
29th Nov 2023,75,19,18,0,1264,569,1332,502,1515,319
28th Nov 2023,117,16,26,0,1277,559,1314,523,1512,325
